dataset,source_model,seed,layer,checkpoint,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,source_file
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0180047823872433,0.0783120073876308,274.51681900620235,2.0919281814342443,0.0,0.0,0.0853692144155502,0.1299682950537547,0.3097452987717276,0.0054420940085068,107,296,424,526,660,35.1249940063122,5.999893953740518,403.3860136465792,0.504232517058224,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=22
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0230452194798557,0.0783999811812473,274.8252044860971,2.099673773126702,0.0,0.0,0.1714216470718383,0.2104972932377904,0.2987394211423121,0.005015041259121,94,283,413,518,657,24.857103088061287,5.871222815160426,354.68242624955093,0.4433530328119386,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=23
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0311505275283371,0.0783576733940245,274.67689773781984,2.115530365870929,0.0,0.0,0.3459908366203308,0.376873072768194,0.263537847850171,0.0040725001254816,63,248,383,494,647,15.298234297754032,5.529110941228746,251.9198398887621,0.3148997998609526,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=24
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0439270726061326,0.078330904646756,274.5830619188527,2.1523117141734285,0.0,0.0,0.6834571361541748,0.6988074305583258,0.16390680095691,0.002024579463683,8,127,266,397,604,8.381121719244545,4.541712545004099,93.85138729828638,0.1173142341228579,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=25
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0536522772324479,0.0783136779420416,274.52267500836405,2.173730905026464,0.0,0.0,1.0,0.9999999999990434,0.0,0.0,4,13,31,54,125,5.841305246433521,3.140964237561478,23.12615521887288,0.0289076940235911,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=26
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.007846313947869,0.0502430080245254,176.12306465245896,1.238705116132313,0.0,0.0,0.0901928320527076,0.1404726173028493,0.5016102864536154,0.0023065750222065,92,271,402,516,686,33.2442588043034,5.9484272707822825,383.1502733262303,0.4789378416577878,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=27
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0101352586811131,0.0502815789522514,176.25827212240878,1.2509005028127782,0.0,0.0,0.1841310709714889,0.2279007772604836,0.4784394546432173,0.0021648530621881,86,264,396,511,684,25.11167109021212,5.883238852576072,358.9700118600786,0.4487125148250983,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=28
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.013998734489633,0.0502863979092733,176.27516461178328,1.2806405098328155,0.0,0.0,0.3571562170982361,0.3917266091820252,0.4156997107832633,0.0018354974441154,69,244,377,495,676,15.84453877137366,5.686042353850966,294.7248926236781,0.3684061157795976,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=29
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0207391219898075,0.0502859244925631,176.27350508532334,1.345123776408883,0.0,0.0,0.6724922060966492,0.6902009296282979,0.2563774434922037,0.0010071565280575,19,158,292,420,637,7.965969678415049,4.934140617132736,138.9536767968454,0.1736920959960567,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=30
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0267377685391892,0.0502890340727441,176.2844054834788,1.3911158568136708,0.0,0.0,1.0,0.9999999999984934,0.0,0.0,5,19,38,62,132,4.802953297145558,3.3331033475687235,28.025178761129386,0.0350314734514117,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=31
