dataset,method,seed,layer,width,checkpoint_rule_for_geometry,probe_split,temporal_mode,epoch100_test_accuracy,epoch100_test_loss,selected_test_accuracy,selected_test_loss,best_validation_epoch,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file_geometry,source_file_accuracy_epoch100,source_file_accuracy_selected
N-MNIST,matched SNN-BPTT,20260908,H3,800,completed_epoch_100,basis_eval,timestep,0.9897,0.009382443884387612,0.9891,0.009522332896105944,80,2,4,6,9,21,2.413798642131956,1.799446012892555,6.046296965865262,0.0030172483026649,0.0075578712073315,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=108,results/frozen_sources/nmnist/all_runs.csv#row=18,results/frozen_sources/nmnist/all_runs.csv#row=19
N-MNIST,matched SNN-BPTT,20260909,H1,800,completed_epoch_100,basis_eval,timestep,0.9887,0.00964705495648086,0.9886,0.009744555203616619,82,3,8,13,18,28,3.98487991448457,2.528443182574363,12.53397782451435,0.0049810998931057,0.0156674722806429,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=116,results/frozen_sources/nmnist/all_runs.csv#row=20,results/frozen_sources/nmnist/all_runs.csv#row=21
N-MNIST,matched SNN-BPTT,20260909,H2,800,completed_epoch_100,basis_eval,timestep,0.9887,0.00964705495648086,0.9886,0.009744555203616619,82,4,9,13,18,27,5.307862077167381,2.62819813992247,13.848793818479916,0.0066348275964592,0.0173109922730998,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=118,results/frozen_sources/nmnist/all_runs.csv#row=20,results/frozen_sources/nmnist/all_runs.csv#row=21
N-MNIST,matched SNN-BPTT,20260909,H3,800,completed_epoch_100,basis_eval,timestep,0.9887,0.00964705495648086,0.9886,0.009744555203616619,82,2,6,9,12,17,2.8383711135412373,2.1160190282287634,8.298037393511741,0.0035479638919265,0.0103725467418896,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=120,results/frozen_sources/nmnist/all_runs.csv#row=20,results/frozen_sources/nmnist/all_runs.csv#row=21
N-MNIST,temporal ANN-DFA,20260830,H1,800,completed_epoch_100,basis_eval,timestep,0.9867,0.0275968871474266,0.9867,0.0309174650490283,18,39,253,399,508,649,11.299350085555766,5.279821817249241,196.33488874433948,0.0141241876069447,0.2454186109304243,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=128,results/frozen_sources/nmnist/all_runs.csv#row=22,results/frozen_sources/nmnist/all_runs.csv#row=23
N-MNIST,temporal ANN-DFA,20260830,H2,800,completed_epoch_100,basis_eval,timestep,0.9867,0.0275968871474266,0.9867,0.0309174650490283,18,7,56,127,192,278,9.040062030377737,4.00773530781531,55.022121189473005,0.0113000775379721,0.0687776514868412,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=130,results/frozen_sources/nmnist/all_runs.csv#row=22,results/frozen_sources/nmnist/all_runs.csv#row=23
N-MNIST,temporal ANN-DFA,20260830,H3,800,completed_epoch_100,basis_eval,timestep,0.9867,0.0275968871474266,0.9867,0.0309174650490283,18,6,28,64,103,166,8.004640046204486,3.631853820398165,37.78279424883873,0.0100058000577556,0.0472284928110484,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=132,results/frozen_sources/nmnist/all_runs.csv#row=22,results/frozen_sources/nmnist/all_runs.csv#row=23
N-MNIST,temporal ANN-DFA,20260831,H1,800,completed_epoch_100,basis_eval,timestep,0.986,0.0278398516595363,0.9867,0.0282433978915214,42,71,289,429,531,659,11.724735279989597,5.595541081772297,269.2232825000316,0.0146559190999869,0.3365291031250395,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=140,results/frozen_sources/nmnist/all_runs.csv#row=24,results/frozen_sources/nmnist/all_runs.csv#row=25
N-MNIST,temporal ANN-DFA,20260831,H2,800,completed_epoch_100,basis_eval,timestep,0.986,0.0278398516595363,0.9867,0.0282433978915214,42,7,70,154,228,326,10.098933459481254,4.199720921346304,66.6677229061257,0.0126236668243515,0.0833346536326571,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=142,results/frozen_sources/nmnist/all_runs.csv#row=24,results/frozen_sources/nmnist/all_runs.csv#row=25
N-MNIST,temporal ANN-DFA,20260831,H3,800,completed_epoch_100,basis_eval,timestep,0.986,0.0278398516595363,0.9867,0.0282433978915214,42,7,34,75,117,178,8.562335975897657,3.80059020072324,44.72757495178621,0.010702919969872,0.0559094686897327,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=144,results/frozen_sources/nmnist/all_runs.csv#row=24,results/frozen_sources/nmnist/all_runs.csv#row=25
N-MNIST,temporal ANN-DFA,20260901,H1,800,completed_epoch_100,basis_eval,timestep,0.9852,0.0283129748284816,0.9856,0.0293325410127639,24,86,297,430,527,650,19.451566838291257,5.78704694213585,326.04876045697534,0.024314458547864,0.4075609505712191,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=152,results/frozen_sources/nmnist/all_runs.csv#row=26,results/frozen_sources/nmnist/all_runs.csv#row=27
N-MNIST,temporal ANN-DFA,20260901,H2,800,completed_epoch_100,basis_eval,timestep,0.9852,0.0283129748284816,0.9856,0.0293325410127639,24,8,78,172,254,363,9.643524788173188,4.2655418983386495,71.20349457611128,0.0120544059852164,0.0890043682201391,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=154,results/frozen_sources/nmnist/all_runs.csv#row=26,results/frozen_sources/nmnist/all_runs.csv#row=27
N-MNIST,temporal ANN-DFA,20260901,H3,800,completed_epoch_100,basis_eval,timestep,0.9852,0.0283129748284816,0.9856,0.0293325410127639,24,7,37,85,136,210,7.44574058385848,3.857193185659882,47.33231173609002,0.009307175729823,0.0591653896701125,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=156,results/frozen_sources/nmnist/all_runs.csv#row=26,results/frozen_sources/nmnist/all_runs.csv#row=27
N-MNIST,temporal ANN-DFA,20260908,H1,800,completed_epoch_100,basis_eval,timestep,0.9861,0.027419380855560303,0.9871,0.030833746093511583,19,64,291,436,541,671,9.479222643300744,5.526223921089165,251.19359108933168,0.0118490283041259,0.3139919888616646,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=164,results/frozen_sources/nmnist/all_runs.csv#row=28,results/frozen_sources/nmnist/all_runs.csv#row=29
N-MNIST,temporal ANN-DFA,20260908,H2,800,completed_epoch_100,basis_eval,timestep,0.9861,0.027419380855560303,0.9871,0.030833746093511583,19,9,86,176,250,347,9.646108154228484,4.399611068849881,81.41919604457362,0.0120576351927856,0.101773995055717,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=166,results/frozen_sources/nmnist/all_runs.csv#row=28,results/frozen_sources/nmnist/all_runs.csv#row=29
N-MNIST,temporal ANN-DFA,20260908,H3,800,completed_epoch_100,basis_eval,timestep,0.9861,0.027419380855560303,0.9871,0.030833746093511583,19,6,34,78,125,201,8.93377688886896,3.807059368118773,45.01786307017882,0.0111672211110862,0.0562723288377235,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=168,results/frozen_sources/nmnist/all_runs.csv#row=28,results/frozen_sources/nmnist/all_runs.csv#row=29
N-MNIST,temporal ANN-DFA,20260909,H1,800,completed_epoch_100,basis_eval,timestep,0.9862,0.0274838947057724,0.986,0.028547427198290825,18,105,330,465,561,678,24.71287021049585,5.946372349929966,382.3637382504408,0.0308910877631198,0.4779546728130509,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=176,results/frozen_sources/nmnist/all_runs.csv#row=30,results/frozen_sources/nmnist/all_runs.csv#row=31
N-MNIST,temporal ANN-DFA,20260909,H2,800,completed_epoch_100,basis_eval,timestep,0.9862,0.0274838947057724,0.986,0.028547427198290825,18,9,114,226,320,449,10.07465246389669,4.600438698925214,99.52796887889556,0.0125933155798708,0.1244099610986194,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=178,results/frozen_sources/nmnist/all_runs.csv#row=30,results/frozen_sources/nmnist/all_runs.csv#row=31
N-MNIST,temporal ANN-DFA,20260909,H3,800,completed_epoch_100,basis_eval,timestep,0.9862,0.0274838947057724,0.986,0.028547427198290825,18,6,33,80,128,202,6.53063312966606,3.71475707804648,41.04861426356701,0.0081632914120825,0.0513107678294587,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=180,results/frozen_sources/nmnist/all_runs.csv#row=30,results/frozen_sources/nmnist/all_runs.csv#row=31
