dataset,method,seed,layer,width,probe_split,temporal_mode,checkpoint_rule,r50,r80,r90,r95,r99,checkpoint_sha256,source_file
N-MNIST,MeanGate,20260830,H2,800,basis_eval,timestep,completed_epoch_100,37,98,146,194,295,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=190
N-MNIST,MeanGate,20260830,H3,800,basis_eval,timestep,completed_epoch_100,35,99,149,198,298,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=192
N-MNIST,MeanGate,20260831,H1,800,basis_eval,timestep,completed_epoch_100,34,99,151,201,303,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=200
N-MNIST,MeanGate,20260831,H2,800,basis_eval,timestep,completed_epoch_100,36,102,155,206,305,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=202
N-MNIST,MeanGate,20260831,H3,800,basis_eval,timestep,completed_epoch_100,35,95,145,194,296,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=204
N-MNIST,MeanGate,20260901,H1,800,basis_eval,timestep,completed_epoch_100,33,100,154,205,309,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=212
N-MNIST,MeanGate,20260901,H2,800,basis_eval,timestep,completed_epoch_100,34,95,145,194,295,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=214
N-MNIST,MeanGate,20260901,H3,800,basis_eval,timestep,completed_epoch_100,35,96,144,191,295,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=216
N-MNIST,MeanGate,20260908,H1,800,basis_eval,timestep,completed_epoch_100,33,98,149,200,303,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=224
N-MNIST,MeanGate,20260908,H2,800,basis_eval,timestep,completed_epoch_100,35,97,148,200,302,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=226
N-MNIST,MeanGate,20260908,H3,800,basis_eval,timestep,completed_epoch_100,30,89,137,184,288,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=228
N-MNIST,MeanGate,20260909,H1,800,basis_eval,timestep,completed_epoch_100,35,102,154,204,308,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=236
N-MNIST,MeanGate,20260909,H2,800,basis_eval,timestep,completed_epoch_100,34,97,148,197,300,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=238
N-MNIST,MeanGate,20260909,H3,800,basis_eval,timestep,completed_epoch_100,35,96,144,191,293,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=240
N-MNIST,ShuffledGate,20260830,H1,800,basis_eval,timestep,completed_epoch_100,148,349,470,560,681,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=248
N-MNIST,ShuffledGate,20260830,H2,800,basis_eval,timestep,completed_epoch_100,107,281,396,483,613,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=250
N-MNIST,ShuffledGate,20260830,H3,800,basis_eval,timestep,completed_epoch_100,89,249,368,466,608,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=252
N-MNIST,ShuffledGate,20260831,H1,800,basis_eval,timestep,completed_epoch_100,144,351,474,565,683,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=260
N-MNIST,ShuffledGate,20260831,H2,800,basis_eval,timestep,completed_epoch_100,101,276,393,485,616,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=262
N-MNIST,ShuffledGate,20260831,H3,800,basis_eval,timestep,completed_epoch_100,94,267,383,478,618,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=264
N-MNIST,ShuffledGate,20260901,H1,800,basis_eval,timestep,completed_epoch_100,145,355,480,571,686,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=272
N-MNIST,ShuffledGate,20260901,H2,800,basis_eval,timestep,completed_epoch_100,110,284,403,501,641,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=274
N-MNIST,ShuffledGate,20260901,H3,800,basis_eval,timestep,completed_epoch_100,79,237,354,452,604,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=276
N-MNIST,ShuffledGate,20260908,H1,800,basis_eval,timestep,completed_epoch_100,144,353,479,570,688,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=284
N-MNIST,ShuffledGate,20260908,H2,800,basis_eval,timestep,completed_epoch_100,104,284,406,504,642,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=286
N-MNIST,ShuffledGate,20260908,H3,800,basis_eval,timestep,completed_epoch_100,99,274,391,486,631,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=288
N-MNIST,ShuffledGate,20260909,H1,800,basis_eval,timestep,completed_epoch_100,145,353,479,571,689,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=296
N-MNIST,ShuffledGate,20260909,H2,800,basis_eval,timestep,completed_epoch_100,112,283,401,493,625,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=298
N-MNIST,ShuffledGate,20260909,H3,800,basis_eval,timestep,completed_epoch_100,90,255,370,466,612,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=300
