control_scope,dataset,source_model,seed,layer,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,mask_replicate,marginal_preservation_check,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,mean_abs_g,rms_g,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,checkpoint_sha256,method,epoch100_test_accuracy,selected_test_accuracy,source_file
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,nan,nan,101,281,411,523,688,46.693817790175466,6.013223428853534,408.7989330186917,0.5109986662733647,0.0078512040545715,0.0504233129428646,0.25,0.25,0.0878171399235725,0.1357633064412164,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=24
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,nan,nan,101,281,411,523,688,46.693817790175466,6.013223428853534,408.7989330186917,0.5109986662733647,0.0078512040545715,0.0504233129428646,0.25,0.25,0.0878171399235725,0.1357633064412164,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=25
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,nan,nan,101,281,411,523,688,46.795590462659774,6.013697023479322,408.992583848774,0.5112407298109675,0.0077364771185965,0.0504227748290696,0.5,0.5,0.0870884656906127,0.1354173789063772,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=26
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,nan,nan,101,281,411,523,688,46.795590462659774,6.013697023479322,408.992583848774,0.5112407298109675,0.0077364771185965,0.0504227748290696,0.5,0.5,0.0870884656906127,0.1354173789063772,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=27
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,nan,nan,102,282,412,523,688,47.20910231117461,6.01551140792938,409.7353272403696,0.5121691590504619,0.0075098719468451,0.0504206203543616,0.75,0.75,0.0851054489612579,0.1339619333757937,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=28
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,nan,nan,102,282,412,523,688,47.20910231117461,6.01551140792938,409.7353272403696,0.5121691590504619,0.0075098737230184,0.0504206323460816,0.75,0.75,0.0851054489612579,0.1339619333757937,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=29
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.8996985677083333,0.8996985677083333,nan,nan,103,283,413,524,689,49.43823811220677,6.02427047554116,413.339990372485,0.5166749879656062,0.007116304713613,0.0504086234061557,0.8996985677083333,0.8996985677083333,0.0790207162499427,0.1267032635020762,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=30
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H3,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.8996985677083333,0.8996985677083333,nan,nan,103,283,413,524,689,49.43823811220677,6.02427047554116,413.339990372485,0.5166749879656062,0.0071164633516001,0.0504097471251661,0.8996985677083333,0.8996985677083333,0.0790207162499427,0.1267032635020762,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=31
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,nan,nan,130,331,457,554,682,49.9820209564572,6.159079688863601,472.9925741340908,0.5912407176676135,0.0124539867610056,0.0645126198267627,0.0,0.0,0.0575211085379123,0.1057598228333332,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=32
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,nan,nan,130,331,457,554,682,49.9820209564572,6.159079688863601,472.9925741340908,0.5912407176676135,0.0124539867610056,0.0645126198267627,0.0,0.0,0.0575211085379123,0.1057598228333332,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=33
