dataset,method,seed,layer,width,probe_split,temporal_mode,checkpoint_rule,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file
N-MNIST,matched SNN-BPTT,20260909,H3,800,basis_eval,timestep,completed_epoch_100,2.8383711135412373,2.1160190282287634,8.298037393511741,0.0035479638919265,0.0103725467418896,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=120
N-MNIST,temporal ANN-DFA,20260830,H1,800,basis_eval,timestep,completed_epoch_100,11.299350085555766,5.279821817249241,196.33488874433948,0.0141241876069447,0.2454186109304243,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=128
N-MNIST,temporal ANN-DFA,20260830,H2,800,basis_eval,timestep,completed_epoch_100,9.040062030377737,4.00773530781531,55.022121189473005,0.0113000775379721,0.0687776514868412,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=130
N-MNIST,temporal ANN-DFA,20260830,H3,800,basis_eval,timestep,completed_epoch_100,8.004640046204486,3.631853820398165,37.78279424883873,0.0100058000577556,0.0472284928110484,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=132
N-MNIST,temporal ANN-DFA,20260831,H1,800,basis_eval,timestep,completed_epoch_100,11.724735279989597,5.595541081772297,269.2232825000316,0.0146559190999869,0.3365291031250395,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=140
N-MNIST,temporal ANN-DFA,20260831,H2,800,basis_eval,timestep,completed_epoch_100,10.098933459481254,4.199720921346304,66.6677229061257,0.0126236668243515,0.0833346536326571,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=142
N-MNIST,temporal ANN-DFA,20260831,H3,800,basis_eval,timestep,completed_epoch_100,8.562335975897657,3.80059020072324,44.72757495178621,0.010702919969872,0.0559094686897327,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=144
N-MNIST,temporal ANN-DFA,20260901,H1,800,basis_eval,timestep,completed_epoch_100,19.451566838291257,5.78704694213585,326.04876045697534,0.024314458547864,0.4075609505712191,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=152
N-MNIST,temporal ANN-DFA,20260901,H2,800,basis_eval,timestep,completed_epoch_100,9.643524788173188,4.2655418983386495,71.20349457611128,0.0120544059852164,0.0890043682201391,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=154
N-MNIST,temporal ANN-DFA,20260901,H3,800,basis_eval,timestep,completed_epoch_100,7.44574058385848,3.857193185659882,47.33231173609002,0.009307175729823,0.0591653896701125,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=156
