dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183004.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,4.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183004.0,0.25,0.25,False,0.0110023687840544,0.0652278983289443,228.65146427787383,1.771433697606335,0.25,0.25,1e-06,0.0441554710268974,0.0809265727513514,0.2391202733914308,0.0039246648130118,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,324,451,548,680,54.400329509484834,6.15455755555755,470.8584676548949,0.5885730845686187,tables/5_seed_review/gate_per_seed.csv,4.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183004.0,0.5,0.5,False,0.0089894860363119,0.0652208395430882,228.6267202379197,1.7495486172471966,0.5,0.5,1e-06,0.0306187197566032,0.0556257557065453,0.2880083526901594,0.0039857672480907,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,322,447,545,679,72.21194815521714,6.166750370040498,476.6347003053023,0.5957933753816278,tables/5_seed_review/gate_per_seed.csv,4.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183004.0,0.75,0.75,False,0.0063666420393685,0.0652130651960272,228.59946785228576,1.686849856758042,0.75,0.75,1e-06,0.017188511788845,0.0314210018404168,0.4053234221386463,0.0040471988729637,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",122,314,438,536,673,79.17030959602717,6.136701551158058,462.5254355194767,0.5781567943993459,tables/5_seed_review/gate_per_seed.csv,4.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183004.0,0.8526092936197917,0.8526092936197917,False,0.004887262367878,0.0652091791616844,228.5858456528054,1.6095893782102717,0.8526092936197917,0.8526092936197917,1e-06,0.0117663033306598,0.0219173206805832,0.5292723865294084,0.0040728991172163,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",110,302,426,524,666,52.34067131968804,6.077232010441708,435.8211751348359,0.5447764689185449,tables/5_seed_review/gate_per_seed.csv,4.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183005.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,5.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183005.0,0.25,0.25,False,0.0110056262985222,0.0652278500504423,228.6512950412405,1.7716545783147906,0.25,0.25,1e-06,0.0441276207566261,0.0814474226553069,0.2373411326799475,0.0039238791286529,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,323,448,546,679,55.480854330553,6.151408285216276,469.3779395630205,0.5867224244537755,tables/5_seed_review/gate_per_seed.csv,5.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183005.0,0.5,0.5,False,0.0089861990732181,0.0652208387144707,228.6267173332711,1.7507482519650617,0.5,0.5,1e-06,0.0304096788167953,0.0559185379384604,0.2849313628051345,0.0039863563158192,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",128,323,448,546,678,69.98094803260696,6.164604404729465,475.612955478998,0.5945161943487475,tables/5_seed_review/gate_per_seed.csv,5.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183005.0,0.75,0.75,False,0.006354870861952,0.0652131004411658,228.5995914014561,1.6886662566774162,0.75,0.75,1e-06,0.0170650798827409,0.031264782113034,0.4018730911006485,0.0040474681404176,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",123,311,434,532,669,89.38700183973037,6.143194285560498,465.5382604788624,0.581922825598578,tables/5_seed_review/gate_per_seed.csv,5.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183005.0,0.8526092936197917,0.8526092936197917,False,0.004873237416216,0.0652091138449562,228.58561668995628,1.610567925618343,0.8526092936197917,0.8526092936197917,1e-06,0.0116957854479551,0.0212346388121445,0.5275754311150984,0.004073208563585,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",118,301,421,519,662,88.93069444763138,6.110436513957079,450.5353372132158,0.5631691715165198,tables/5_seed_review/gate_per_seed.csv,5.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183006.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,6.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183006.0,0.25,0.25,False,0.0110054444686982,0.0652278111326911,228.6511586180076,1.77193817199841,0.25,0.25,1e-06,0.0442287400364875,0.0811299809812225,0.2373064893399824,0.003923769681287,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,320,447,545,679,54.48408425109345,6.144186767878672,466.0005283292097,0.5825006604115122,tables/5_seed_review/gate_per_seed.csv,6.0,nan
