dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,False,0.0079003907885253,0.0504234298643598,176.75551976633852,1.2573703594556866,0.0,0.0,1e-06,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,True,0.0079003907885253,0.0504234298643598,176.68182373046875,1.2573703594556866,0.0,0.0,1e-06,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,False,0.0078512040545715,0.0504233129428646,176.7551099068803,1.2573645419897432,0.25,0.25,1e-06,0.0878171399235725,0.1357633064412164,0.4743395842288147,0.0023237155561185,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.693817790175466,6.013223428853534,408.7989330186917,0.5109986662733647,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,True,0.0078512040545715,0.0504233129428646,176.68182373046875,1.2573645419897432,0.25,0.25,1e-06,0.0878171399235725,0.1357633064412164,0.4743395842288147,0.0023237155561185,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.693817790175466,6.013223428853534,408.7989330186917,0.5109986662733647,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,False,0.0077364771185965,0.0504227748290696,176.75322358967125,1.257336231704734,0.5,0.5,1e-06,0.0870884656906127,0.1354173789063772,0.4743690437398253,0.0023248656349613,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.795590462659774,6.013697023479322,408.992583848774,0.5112407298109675,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,True,0.0077364771185965,0.0504227748290696,176.68182373046875,1.257336231704734,0.5,0.5,1e-06,0.0870884656906127,0.1354173789063772,0.4743690437398253,0.0023248656349613,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.795590462659774,6.013697023479322,408.992583848774,0.5112407298109675,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,False,0.0075098719468451,0.0504206203543616,176.74567124152878,1.257234075564266,0.75,0.75,1e-06,0.0851054489612579,0.1339619333757937,0.4744636961393634,0.0023278857540703,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",102,282,412,523,688,47.20910231117461,6.01551140792938,409.7353272403696,0.5121691590504619,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,True,0.0075098737230184,0.0504206323460816,176.6818084716797,1.2572343743085403,0.75,0.75,1e-06,0.0851054489612579,0.1339619333757937,0.4744636961393634,0.0023278857540703,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",102,282,412,523,688,47.20910231117461,6.01551140792938,409.7353272403696,0.5121691590504619,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.8996985677083333,0.8996985677083333,False,0.007116304713613,0.0504086234061557,176.70361684694626,1.2568014987569256,0.8996985677083333,0.8996985677083333,1e-06,0.0790207162499427,0.1267032635020762,0.4747288927382903,0.0023360043247639,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",103,283,413,524,689,49.43823811220677,6.02427047554116,413.339990372485,0.5166749879656062,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.8996985677083333,0.8996985677083333,True,0.0071164633516001,0.0504097471251661,176.68177795410156,1.2568295155755445,0.8996985677083333,0.8996985677083333,1e-06,0.0790207162499427,0.1267032635020762,0.4747288927382903,0.0023360043247639,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",103,283,413,524,689,49.43823811220677,6.02427047554116,413.339990372485,0.5166749879656062,tables/5_seed_review/gate_per_seed.csv,nan,nan
