dataset,method,seed,layer,checkpoint,checkpoint_rule,width,probe_split,source_file,checkpoint_sha256,git_commit,provenance_status,temporal_mode,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,input_csv
N-MNIST,SNN-DFA,20260831,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,107,296,424,526,660,35.1249940063122,5.999893953740518,403.3860136465792,0.0439062425078902,0.504232517058224,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,13,31,54,125,5.841303445865897,3.140958710476501,23.126027399001032,0.0073016293073323,0.0289075342487512,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,timestep,92,271,402,516,686,33.2442588043034,5.9484272707822825,383.1502733262303,0.0415553235053792,0.4789378416577878,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,19,38,62,132,4.802951083733639,3.333098110601829,28.02503199458031,0.006003688854667,0.0350312899932253,01_spectral_metrics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260901,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,132,336,464,562,691,49.9708568768181,6.172663651966428,479.46152533345673,0.0624635710960226,0.5993269066668209,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,22,46,75,152,6.381252325681976,3.4913218458891584,32.82931433211315,0.0079765654071024,0.0410366429151414,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,101,295,427,532,676,29.878628066268487,5.978442072438797,394.82478035207487,0.0373482850828356,0.4935309754400936,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,11,27,49,117,4.957336526036552,3.048128903071999,21.07587250586488,0.0061966706575456,0.026344840632331,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,87,265,396,510,681,32.25858830577997,5.909757344680015,368.6166977533627,0.0403232353822249,0.4607708721917034,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,16,32,53,122,4.800968583088043,3.2209895521443483,25.052899069311135,0.00600121072886,0.0313161238366389,01_spectral_metrics/dfa_trained_20260901.csv
