dataset,model,method,seed,epoch,probe_split,batch_index,layer,gate_mode,production_delta_relative_error,applied_gate_norm_ratio
nmnist,snn,dfa_trained,20260830,75,basis_fit,1,hidden_2,actual,5.0456485212180275e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,1,hidden_3,actual,5.12370412764085e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,2,hidden_1,actual,5.0261565576192886e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,2,hidden_2,actual,5.17302751745774e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,2,hidden_3,actual,5.3139849853778294e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,3,hidden_1,actual,5.1354792418578654e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,3,hidden_2,actual,5.2318210208568416e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_fit,3,hidden_3,actual,5.013938420006525e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,0,hidden_1,actual,5.01621677528874e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,0,hidden_2,actual,5.273018999218949e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,0,hidden_3,actual,5.1197812211967175e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,1,hidden_1,actual,5.2251856175189466e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,1,hidden_2,actual,5.065139419002662e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,1,hidden_3,actual,4.975854750455255e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,2,hidden_1,actual,5.209660969285324e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,2,hidden_2,actual,5.121466983837309e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,2,hidden_3,actual,5.1615067775401264e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,3,hidden_1,actual,5.2154327079279035e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,3,hidden_2,actual,5.044773843110306e-08,1.0
nmnist,snn,dfa_trained,20260830,75,basis_eval,3,hidden_3,actual,5.245775014373066e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,0,hidden_1,actual,5.067372299549788e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,0,hidden_2,actual,5.115830958857259e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,0,hidden_3,actual,5.265271951770956e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,1,hidden_1,actual,5.1857824701073696e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,1,hidden_2,actual,5.16080724821677e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,1,hidden_3,actual,5.008529768701919e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,2,hidden_1,actual,5.056173790762841e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,2,hidden_2,actual,5.1123883793025016e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,2,hidden_3,actual,4.881025361669344e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,3,hidden_1,actual,5.163072813729742e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,3,hidden_2,actual,5.1607987217039415e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_fit,3,hidden_3,actual,4.9526885703699015e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,0,hidden_1,actual,5.187098750525365e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,0,hidden_2,actual,5.11228321897761e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,0,hidden_3,actual,5.153303206384408e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,1,hidden_1,actual,5.2609230749567366e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,1,hidden_2,actual,5.0897813963501903e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,1,hidden_3,actual,5.0043080790374006e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,2,hidden_1,actual,5.171481021193358e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,2,hidden_2,actual,5.101708921984027e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,2,hidden_3,actual,5.036804040514654e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,3,hidden_1,actual,5.297282257288317e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,3,hidden_2,actual,5.1359325681232804e-08,1.0
nmnist,snn,dfa_trained,20260830,100,basis_eval,3,hidden_3,actual,5.1605123729814295e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,0,hidden_1,actual,5.022616278438363e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,0,hidden_2,actual,5.1248665755565526e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,0,hidden_3,actual,5.09248962998754e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,1,hidden_1,actual,5.1091863184637993e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,1,hidden_2,actual,5.1194135153309623e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,1,hidden_3,actual,5.0741277846100274e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,2,hidden_1,actual,5.1019586777556476e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,2,hidden_2,actual,5.1211554108476776e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,2,hidden_3,actual,5.059805019413943e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,3,hidden_1,actual,5.11587110452183e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,3,hidden_2,actual,5.124845614545848e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_fit,3,hidden_3,actual,5.072721620535958e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,0,hidden_1,actual,5.303087391439477e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,0,hidden_2,actual,5.126078761463759e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,0,hidden_3,actual,5.067128583391423e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,1,hidden_1,actual,5.135713365689298e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,1,hidden_2,actual,5.1315929283646255e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,1,hidden_3,actual,5.076707410012205e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,2,hidden_1,actual,5.091964894177181e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,2,hidden_2,actual,5.131465741214925e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,2,hidden_3,actual,5.068341479841366e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,3,hidden_1,actual,4.968930156223905e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,3,hidden_2,actual,5.129570368467285e-08,1.0
nmnist,snn,dfa_trained,20260901,0,basis_eval,3,hidden_3,actual,5.0774470850001314e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,0,hidden_1,actual,5.1361528363713667e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,0,hidden_2,actual,5.183300899602728e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,0,hidden_3,actual,5.2062077315895294e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,1,hidden_1,actual,5.08268591659089e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,1,hidden_2,actual,5.0565269305025147e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,1,hidden_3,actual,5.1591189986766046e-08,1.0
